evidence,status,result,claim_role
Burgers scalar comparative,SUPPORTED,12/15 planned wins; 12/12 valid wins; median E_SAEPS=0.0750323; p=0.00024414062,PRIMARY_SUPPORTED
Allen-Cahn scalar replication,SUPPORTED,9/10 planned wins; 9/9 valid wins; median E_SAEPS=0.278567; p=0.001953125,INDEPENDENT_REPLICATION_SUPPORTED
Noise/sparsity robustness,DESCRIPTIVE_WITH_EXACT_ANCHOR_SUPPORT,52/60 binding-valid; 14/14 exact-anchor wins,SECONDARY
Controlled tangent-overlap mechanism,NOT_SUPPORTED,6/10 planned monotonic; 6/10 valid; valid median Spearman=1,CONDITIONAL_ONLY
Finite-gamma family,DESCRIPTIVE_COMPLETE,42/42 terminal; 38/42 numerical PASS; no nominal-gamma recalibration,SENSITIVITY_AUDIT_NONBINDING
Nonlinear profile bridge,NOT_SUPPORTED,5/5 evaluable; 1/5 PROFILE_VALID,CLAIM_DELETED
Two-parameter comparative geometry,INCONCLUSIVE,8/10 valid; 8/10 planned wins; valid sign p=0.00390625,DIRECTIONAL_EVIDENCE_NONBINDING
State-parameter scalability,PASSED,up to n_theta=100001; inherited function-preserving controlled checkpoint; cost-only,ENGINEERING_COST
Residual-dimension scalability,PASSED,"27/27 PASS; actual residuals m=213,853,3413; no exponent fit",ENGINEERING_COST
Wide architecture,UNTESTED_DUE_INVALID_CENTERS,0/5 width32 center-valid in inherited V4.8,LIMITATION
